Team,GF60,GA60,CF%,Sh%,Sv%,OZFO%,DZFO%,NZFO%,PP%,PK%,Playoffs
Los Angeles,2.38,2.0,55.7,7.64,92.23,36.8,31.8,31.4,14.8,83.1,Yes
Minnesota,2.37,2.33,48.6,9.09,91.41,33.0,34.2,32.8,17.5,78.8,Yes
Montreal,2.5,2.39,47.0,8.94,92.16,30.8,36.2,33.0,16.5,85.1,Yes
Nashville,2.56,2.8,48.2,8.95,90.16,32.8,35.7,31.5,18.8,80.3,No
New Jersey,2.36,2.32,52.6,8.96,90.7,33.5,31.3,35.2,19.5,86.4,No
NY Islanders,2.57,3.12,50.0,8.5,89.41,34.4,33.2,32.4,17.8,78.1,No
NY Rangers,2.57,2.24,52.9,7.85,92.31,35.7,32.5,31.8,18.2,85.3,Yes
Ottawa,2.73,3.09,51.2,8.48,90.94,33.4,33.5,33.1,18.8,80.9,No
Philadelphia,2.8,2.73,50.8,9.37,90.95,34.0,32.9,33.1,19.7,84.8,Yes
Pittsburgh,2.89,2.46,49.3,9.8,91.34,33.0,32.6,34.4,23.4,85.0,Yes
San Jose,2.86,2.29,54.5,8.39,91.58,34.1,33.1,32.8,17.2,84.9,Yes
St. Louis,2.84,2.26,52.6,9.88,91.3,34.9,32.5,32.6,19.4,85.7,Yes
Tampa Bay,2.78,2.49,49.7,9.49,91.32,34.3,33.0,32.7,18.1,80.7,Yes
Toronto,2.65,3.02,43.6,9.65,91.44,28.6,39.4,32.1,19.8,78.3,No
Vancouver,2.29,2.59,51.7,7.56,90.71,33.3,34.9,31.8,15.2,83.2,No
Washington,2.67,2.73,47.6,9.29,91.67,34.1,33.4,32.5,23.4,82.0,No
Winnipeg,2.62,2.75,50.3,8.71,90.69,33.4,32.6,34.0,15.4,83.2,No
Anaheim,2.7,2.63,51.1,9.18,90.74,33.8,33.8,32.4,15.7,81.0,Yes
Arizona,1.98,3.21,47.7,6.9,90.19,32.8,35.4,31.9,20.0,76.7,No
Boston,2.5,2.39,52.1,8.22,91.83,34.5,33.9,31.6,17.8,82.0,No
